 "bdr" , "w" , "bc" , "trl" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/189954728/id" , "Le rêve dans le pavillon rouge  / texte original Cao Xueqin  ; traduction Nicolas Henry & Si Mo  ; [préface, dans le livret, de Chi Li] / [Paris] : Fei , cop. 2015" , "Si, Mo" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/018064159/id" , "Chapter two of Ocean of reasoning  : a commentary on Nāgārjuna's Fundamental treatise on the middle way, proving the emptiness of going and coming  / by Tsong-ka-pa  ; translated by Jeffrey Hopkins in accordance with instruction from Kensur Nawang Lengden / Dharamsala, India : Library of Tibetan Works and Archives , cop. 1974" , "Hopkins, Jeffrey (1940-....)" ,
 "http://purl.bdrc.io/resource/P1428" , "http://www.sudoc.fr/052069613/id" , "Le coeur des trois voies  / Taranatha  ; sous la dir. de lama Seunam Tcheupèl  ; trad. par Fiorita Delebarre et Patrick Momal / La Boulaye : Éd. Marpa , 1999" , "Delebarre, Fiorita" ,
 "http://purl.bdrc.io/resource/P1428" , "http://www.sudoc.fr/052069613/id" , "Le coeur des trois voies  / Taranatha  ; sous la dir. de lama Seunam Tcheupèl  ; trad. par Fiorita Delebarre et Patrick Momal / La Boulaye : Éd. Marpa , 1999" , "Momal, Patrick (19..-....h ; traducteur)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/123494117/id" , "菩提正道菩薩戒論  : (菩提薩埵摩尼寶鬘之一)  / 宗喀巴上師造  ; 湯薌銘居士譯 / 台北 : 佛教出版社 , [1989]" , "Tang, Xiangming" ,
 "http://purl.bdrc.io/resource/P7570" , "http://www.sudoc.fr/004129393/id" , "Tantra de l'union secrète  / Yonten Gyatso  ; trad. du tibétain par Georges Driessens / [Paris] : Éd. du Seuil , 1997" , "Driessens, Georges (19..-....)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/101333277/id" , "Tantric Ethics  : An explanation of the precepts for Buddhist Vajrayāna practice  / Tsongkhapa  ; translated by Gareth Sparham  ; foreword by Jeffrey Hopkins/ 1st Wisdom ed. / Boston, Mass. : Wisdom Publications , cop. 2005" , "Sparham, Gareth" ,
 "http://purl.bdrc.io/resource/P3312" , "http://www.sudoc.fr/081301952/id" , "Machik's complete explanation  : clarifying the meaning of chöd  : a complete explanation of casting out the body as food  / translated by Sarah Harding / Ithaca, New York : Snow Lion Publications , 2003" , "Harding, Sarah (1951-.... ; traductrice)" ,
 "http://purl.bdrc.io/resource/P364" , "http://www.sudoc.fr/023406720/id" , "The lotus-born  : life story of Padmasambhava  / composed by Yeshe Tsogyal  ; revealed by Nyang Ral Nyima Oser  ; foreword by His Holiness Dilgo Khyentse Rinpoche  ; clarification of the life of Padmasambhava by Tsele Natsok Rangdröl  ; translated from the Tibetan by Erik Pema Kunsang  ; edited by Marcia Binder Schmidt / Boston, Mass. : Shambhala Publications , 1993" , "Binder Schmidt, Marcia" ,
 "http://purl.bdrc.io/resource/P364" , "http://www.sudoc.fr/023406720/id" , "The lotus-born  : life story of Padmasambhava  / composed by Yeshe Tsogyal  ; revealed by Nyang Ral Nyima Oser  ; foreword by His Holiness Dilgo Khyentse Rinpoche  ; clarification of the life of Padmasambhava by Tsele Natsok Rangdröl  ; translated from the Tibetan by Erik Pema Kunsang  ; edited by Marcia Binder Schmidt / Boston, Mass. : Shambhala Publications , 1993" , "Kunsang, Erik Pema" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/016623843/id" , "L'Ode aux réalisations  / de Djé Tsongkhapa (1357-1419)  ; commentaire de Kyapdjé Ling Rimpoché  ; traduit du tibétain sous la direction de Dagpo Rimpoché / L'Hay-les-Roses : Arkhana Vox , 1989" , "Dwags po rin po che (1931-....)" ,
 "http://purl.bdrc.io/resource/P6384" , "http://www.sudoc.fr/002822113/id" , "L'art intérieur du travail  / Tarthang Tulkou  ; [trad. de l'américain par Sylvie Carteron] / Paris : Dervy , 1992" , "Carteron, Sylvie" ,
 "http://purl.bdrc.io/resource/P6384" , "http://www.sudoc.fr/079006795/id" , "Yoga tibétain  : Kum Nye  : massages & postures  / Tarthang Tulku  ; trad. de l'anglais par Anny Le Cam / Paris : Guy Trédaniel , 2002" , "Le Cam, Anny" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/106914758/id" , "Ocean of Reasoning  : A great commentary on Nāgārjuna's Mūlamadhyamakakārikā  / rJe Tsong khapa  ; translated by Geshe Ngawang Samten and Jay L. Garfield / New York : Oxford University Press , 2006" , "Garfield, Jay L. (1955-....)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/180367609/id" , "The Chinese translation of Tson Kha Pa's Lam rim chen mo  : ch. 17 & 18, from Lam-rim chen-mo, Peling edition folio 233 ff.  / by Ven . Fa-tsun / Chungking : [s.n.] , 1936" , "Fazun (1901–1981)" ,
 "http://purl.bdrc.io/resource/P6118" , "http://www.sudoc.fr/178984175/id" , "The sublime science of the great vehicle to salvation, being a manual of Buddhist monism  / the work of Ārya Maitreya  ; with a commentary by Āryāsanga  ; translated from the Tibetan with introduction and notes by E. Obermiller / Ludg. Bat. : E. J. Bril , 1931" , "Obermiller, Eugene (1901-1935)" ,
