"p","prefL","es"
"http://purl.bdrc.io/resource/P4CZ15243","lo tsA ba khu mdo sde 'bar/","97"
"http://purl.bdrc.io/resource/P6090","sprul sku tshul lo/","97"
"http://purl.bdrc.io/resource/P10083","bya mdo klu byams rgyal/","96"
"http://purl.bdrc.io/resource/P1KG745","rig 'dzin bstan srung /","96"
"http://purl.bdrc.io/resource/P3074","mtshur ston dbang gi rdo rje/","96"
"http://purl.bdrc.io/resource/P4925","gung ru chos kyi 'byung gnas/","96"
"http://purl.bdrc.io/resource/P4959","lung rigs bstan dar/","94"
"http://purl.bdrc.io/resource/P245","dkyil zur blo bzang sbyin pa/","93"
"http://purl.bdrc.io/resource/P3476","dgyer sgom chen po gzhon nu grags pa/","93"
"http://purl.bdrc.io/resource/P3849","steng pa lo tsA ba tshul khrims 'byung gnas sbas pa/","93"
"http://purl.bdrc.io/resource/P4283","lo tsA ba dge slong rig pa gzhon nu/","93"
"http://purl.bdrc.io/resource/P748","rdzogs chen mkhan po thub bstan brtson 'grus/","93"
"http://purl.bdrc.io/resource/P2362","gzan dkar 03 thub bstan nyi ma/","92"
"http://purl.bdrc.io/resource/P480","kun mkhyen chos 'byor dpal bzang /","92"
"http://purl.bdrc.io/resource/P6243","lha bzang bla ma rig 'dzin gar gyi dbang phyug","92"
"http://purl.bdrc.io/resource/P8149","lo tsA ba khu ston dngos grub/","92"
"http://purl.bdrc.io/resource/P6877","mkhas grub dbang gi rgyal po/","90"
"http://purl.bdrc.io/resource/P8LS3512","rig 'dzin mi 'jigs rdo rje/","90"
"http://purl.bdrc.io/resource/P9608","rdzong rtse byams pa thub bstan/","90"
"http://purl.bdrc.io/resource/P2335","kaH thog pa ye shes rgyal mtshan/","89"
"http://purl.bdrc.io/resource/P6928","sprul sku bstan 'dzin rgya mtsho/","89"
"http://purl.bdrc.io/resource/P3147","rwa ye shes seng+ge","88"
"http://purl.bdrc.io/resource/P437","gong sman dkon mchog phan dar/","88"
"http://purl.bdrc.io/resource/P4531","tshul dge rin chen/","88"
"http://purl.bdrc.io/resource/P4CZ15290","lo tsA ba cog gru shes rab bla ma/","87"
"http://purl.bdrc.io/resource/P986","gzhung brgya pa dngos grub dpal 'bar/","87"
"http://purl.bdrc.io/resource/P5298","lho pa kun mkhyen rin chen dpal/","86"
"http://purl.bdrc.io/resource/P701","rdzogs chen 05 thub bstan chos kyi rdo rje/","86"
"http://purl.bdrc.io/resource/P7681","rgya ra ba nam mkha' chos kyi rgya mtsho/","86"
"http://purl.bdrc.io/resource/P8160","phyug mtshams dgra bcom/","86"
"http://purl.bdrc.io/resource/P100","rta nag pa dge 'dun blo bzang /","85"
"http://purl.bdrc.io/resource/P4109","skyem pa tshe dbang /","85"
"http://purl.bdrc.io/resource/P4856","mkhyen rab 'od gsal/","85"
"http://purl.bdrc.io/resource/P7084","zhang mdo sde dpal/","85"
"http://purl.bdrc.io/resource/P9236","dge bshes bstan pa bstan 'dzin/","85"
"http://purl.bdrc.io/resource/P9786","na len+dra mkhan chen ngag dbang blo gros rin chen/","85"
"http://purl.bdrc.io/resource/P1KG16718","tshe ring bsam 'grub/","84"
"http://purl.bdrc.io/resource/P1KG6173","bkra b+ha/","84"
"http://purl.bdrc.io/resource/P2259","gtsang nag pa brtson 'grus seng+ge","84"
"http://purl.bdrc.io/resource/P5568","zhwa lu lo chen rin chen bzang po/","84"
"http://purl.bdrc.io/resource/P6970","nywa nag pa ba res/","84"
"http://purl.bdrc.io/resource/P8013","bar zhi ngag dbang bstan skyong /","84"
"http://purl.bdrc.io/resource/P8LS43259","mar nang dge bshes khri g.yung drung /","84"
"http://purl.bdrc.io/resource/P9602","gcod pa klu rgyal/","84"
"http://purl.bdrc.io/resource/P00EGS1016742","ri skya bstan 'dzin 'jam dbyangs/","82"
"http://purl.bdrc.io/resource/P2093","rgyud smad shes rab seng+ge","82"
"http://purl.bdrc.io/resource/P2382","rnam gling paN chen dkon mchog chos grags/","82"
"http://purl.bdrc.io/resource/P4699","kye rdor mkhan po ngag dbang mkhas grub/","82"
"http://purl.bdrc.io/resource/P4CZ16797","shAkya sim ha/","82"
"http://purl.bdrc.io/resource/P5951","spos khang pa rin chen rgyal mtshan/","82"
"http://purl.bdrc.io/resource/P647","'khon ston dpal 'byor lhun grub/","82"
"http://purl.bdrc.io/resource/P6600","rdzogs chen mkhan chen yon tan mgon po/","82"
"http://purl.bdrc.io/resource/P9102","sa skya yab rje kun dga' rin chen/","82"
"http://purl.bdrc.io/resource/P9827","rjes dkar o rgyan brtson 'grus/","82"
"http://purl.bdrc.io/resource/P00KG07607","bya bral chos dbying rang grol/","81"
"http://purl.bdrc.io/resource/P5924","dge bshes lha mo tshul khrims/","81"
"http://purl.bdrc.io/resource/P1360","si tu dbon karma nges don bstan 'dzin 'phrin las rab rgyas/","80"
"http://purl.bdrc.io/resource/P1CN46341","dbang rgyal/","80"
"http://purl.bdrc.io/resource/P3089","'u yug pa bsod nams seng+ge","80"
"http://purl.bdrc.io/resource/P3183","gong dkar rdo rje gdan pa kun dga' rnam rgyal/","80"
"http://purl.bdrc.io/resource/P4CZ34265","hal ha chos mdzad bla ma/","80"
"http://purl.bdrc.io/resource/P5784","zur mang mkhan po pad+ma rnam rgyal/","80"
"http://purl.bdrc.io/resource/P2556","'brong rtse rin chen rgya mtsho/","79"
"http://purl.bdrc.io/resource/P333","dngul chu ngag dbang rdo rje/","79"
"http://purl.bdrc.io/resource/P382","sde khri 03 'jam dbyangs thub bstan nyi ma/","79"
"http://purl.bdrc.io/resource/P8334","dga' rab rdo rje/","79"
"http://purl.bdrc.io/resource/P1581","klog skya lo tsA ba gzhon nu 'bar ba/","78"
"http://purl.bdrc.io/resource/P1GS10596","bstan 'dzin rgya mtsho/","78"
"http://purl.bdrc.io/resource/P4276","lo tsA ba rab mchog dpal bzang /","78"
"http://purl.bdrc.io/resource/P4440","chag lo tsA ba dge slong dgra bcom/","78"
"http://purl.bdrc.io/resource/P8313","mkhas grub/","78"
"http://purl.bdrc.io/resource/P8484","rdo rams pa 'jam dbyangs rgya mtsho/","78"
"http://purl.bdrc.io/resource/P1550","sgom sde ba nam mkha' rgyal mtshan/","77"
"http://purl.bdrc.io/resource/P2691","lcags zam 07 bstan 'dzin ye shes lhun grub/","77"
"http://purl.bdrc.io/resource/P5786","dpal spungs mkhan po lhag bsam bstan pa'i rgyal mtshan/","77"
"http://purl.bdrc.io/resource/P1631","tho yon 'jam dbyangs 'phrin las/","76"
"http://purl.bdrc.io/resource/P1KG5156","tshe dbang rta mgrin/","76"
"http://purl.bdrc.io/resource/P280","tho yon ye shes don grub bstan pa'i rgyal mtshan/","76"
"http://purl.bdrc.io/resource/P4704","shar gdong 05 blo bzang bshad sgrub rgya mtsho/","76"
"http://purl.bdrc.io/resource/P533","dre'u lhas grub dbang 02 kun dga' mi 'gyur rdo rje/","76"
"http://purl.bdrc.io/resource/P632","sprul sku zhig po/","76"
"http://purl.bdrc.io/resource/P968","li thang sde gzhung sprul sku/","76"
